voyageID,voyage,port,whaling_ground,sealing_ground,year,whales,whale_oil,seals,seal_oil,whales_other,source,masterID,master_unc,master,vesselID,vessel,vessel_type,tonnage,notes
SV0029,Dundee (Bonny Dundee) : 1753,Dundee,East Greenland,Only whaling,1753,4,,,,,,SM0091,,"Chiene, W",SS068,Dundee (Bonny Dundee),sailing vessel,,Newspapers that year called her the Bonny Dundee.
SV0021,Campbelton : 1753,Edinburgh/Leith,East Greenland,Only whaling,1753,7,,,,,,SM0111,,Cram,SS042,Campbelton,sailing vessel,,
SV0023,Edinburgh : 1753,Edinburgh/Leith,East Greenland,Only whaling,1753,3,,,,,,SM0461,,Strong,SS078,Edinburgh,sailing vessel,,
SV0018,Prince of Wales : 1753,Edinburgh/Leith,East Greenland,Only whaling,1753,5,,,,,,SM0250,,King,SS211,Prince of Wales,sailing vessel,,
SV0019,Princess of Wales : 1753,Edinburgh/Leith,East Greenland,Only whaling,1753,3,,,,,,SM0304,,"Mccallum, M",SS214,Princess of Wales,sailing vessel,,"Sailed from Kirkaldy, but offloaded at Leith."
SV0020,Royal Bounty : 1753,Edinburgh/Leith,East Greenland,Only whaling,1753,3,,,,,,SM0396,,Roxburgh,SS235,Royal Bounty,sailing vessel,,
SV0022,Trial : 1753,Edinburgh/Leith,East Greenland,Only whaling,1753,4,,,,,,SM0012,,Allan,SS274,Trial,sailing vessel,,Large whales.
SV3647,Glasgow Fisher : 1753,Greenock,Davis Strait,Only whaling,1753,2,,,,,,SM0242,,Kerr,SS109,Glasgow Fisher,sailing vessel,,
SV0027,Peggy : 1753,Greenock,East Greenland,Only whaling,1753,4,,,,,,SM0372,,Reid,SS198,Peggy,sailing vessel,,"Listed as Greenock, but Glasgow the previous year. Both ports classed as Firth of Clyde."
SV0028,Thistle : 1753,Greenock,East Greenland,Only whaling,1753,6,,,,,,SM0254,,Lang,SS264,Thistle,sailing vessel,,'...full boned.'
SV0045,City of Aberdeen : 1754,Aberdeen,East Greenland,Only whaling,1754,0,0,,,,,SM0400,,Sands,SS049,City of Aberdeen,sailing vessel,,1 bn whale.
SV0046,St Anne : 1754,Aberdeen,East Greenland,Only whaling,1754,2,,,,,,SM0060,,Bretiang,SS251,St Anne,sailing vessel,,Listed in Bounty Payment records as Saint Anns.
SV0040,Peggy : 1754,Borrowstouneness,East Greenland,Only whaling,1754,3,,,,,,SM0187,,Gray,SS199,Peggy,sailing vessel,,Called 'Little Peggy' by one newspaper.
SV0041,Thistle : 1754,Borrowstouneness,East Greenland,Only whaling,1754,4,,,,,,SM0115,,Crawford,SS264,Thistle,sailing vessel,,
SV0038,Blessed Endeavour : 1754,Dunbar,East Greenland,Only whaling,1754,4,,,,,,SM0396,,Roxburgh,SS031,Blessed Endeavour,sailing vessel,,
SV0039,North Star : 1754,Dunbar,East Greenland,Only whaling,1754,5,,,,,,SM0414,,Sholl,SS189,North Star,sailing vessel,,
SV0044,Dundee : 1754,Dundee,East Greenland,Only whaling,1754,7,,,,,,SM0091,,"Chiene, W",SS068,Dundee,sailing vessel,,
SV0033,Campbelton : 1754,Edinburgh/Leith,East Greenland,Only whaling,1754,1,,,,,,SM0461,,Strong,SS042,Campbelton,sailing vessel,,"According to the Ed Courant (5 August), 'On the 12th (April) they (also the Trial) were both beset within the Ice, and remained so till the 6th June, when they were driven to the Southward, quite out of the fishery.'"
SV0036,Edinburgh : 1754,Edinburgh/Leith,East Greenland,Only whaling,1754,1,,,,,,SM0394,,Ross,SS078,Edinburgh,sailing vessel,,
SV0034,Prince of Wales : 1754,Edinburgh/Leith,East Greenland,Only whaling,1754,2,,,,,,SM0328,,"Murray, A",SS211,Prince of Wales,sailing vessel,,
SV0035,Princess of Wales : 1754,Edinburgh/Leith,East Greenland,Only whaling,1754,4,,,,,,SM0280,,Macaulley,SS214,Princess of Wales,sailing vessel,,
SV0032,Royal Bounty : 1754,Edinburgh/Leith,East Greenland,Only whaling,1754,10,,,,,,SM0432,,Spence,SS235,Royal Bounty,sailing vessel,,
SV0037,Trial : 1754,Edinburgh/Leith,East Greenland,Only whaling,1754,0,0,,,,,SM0012,,Allan,SS274,Trial,sailing vessel,,Beset - see Campbellton.
SV0042,Glasgow Fisher : 1754,Greenock,Davis Strait,Only whaling,1754,0,0,,,,,SM0254,,Lang,SS109,Glasgow Fisher,sailing vessel,,
SV0043,Peggy : 1754,Greenock,East Greenland,Only whaling,1754,3,,,,,,SM0111,,Cram,SS198,Peggy,sailing vessel,,
SV0061,City of Aberdeen : 1755,Aberdeen,East Greenland,Only whaling,1755,0,0,,,,,SM0400,,Sands,SS049,City of Aberdeen,sailing vessel,,
SV0062,St Anne : 1755,Aberdeen,East Greenland,Only whaling,1755,1,,,,,,SM0060,,Bretiang,SS251,St Anne,sailing vessel,,"'She happened early to be enclosed among floats of Ice in an unlucky place, where she continued for about the whole season, and thereby preventing her better success.' EC 31 July."
SV0058,Borrowstouness : 1755,Borrowstouneness,East Greenland,Only whaling,1755,1,,,,,,SM0461,,Strong,SS035,Borrowstouness,sailing vessel,,
SV0056,Glasgow Fisher : 1755,Borrowstouneness,East Greenland,Only whaling,1755,0,0,,,,,SM0111,,Cram,SS109,Glasgow Fisher,sailing vessel,,
SV0055,Oswald : 1755,Borrowstouneness,East Greenland,Only whaling,1755,2,,,,,,SM0169,,Falconer,SS193,Oswald,sailing vessel,,Five men pressed for service.
SV0057,Peggy : 1755,Borrowstouneness,East Greenland,Only whaling,1755,0,0,,,,,SM0187,,Gray,SS199,Peggy,sailing vessel,,
SV0059,Thistle : 1755,Borrowstouneness,East Greenland,Only whaling,1755,1,,,,,,SM0115,,Crawford,SS264,Thistle,sailing vessel,,
SV0053,Blessed Endeavour : 1755,Dunbar,East Greenland,Only whaling,1755,6,,,,,,SM0396,,Roxburgh,SS031,Blessed Endeavour,sailing vessel,,
SV0054,North Star : 1755,Dunbar,East Greenland,Only whaling,1755,9,,,,,,SM0216,,Hunter,SS189,North Star,sailing vessel,,
SV0060,Dundee : 1755,Dundee,East Greenland,Only whaling,1755,5,,,,,,SM0091,,"Chiene, W",SS068,Dundee,sailing vessel,,
SV0049,Campbelton : 1755,Edinburgh/Leith,East Greenland,Only whaling,1755,6,,,,,,SM0367,,Provand,SS042,Campbelton,sailing vessel,,
SV0047,Edinburgh : 1755,Edinburgh/Leith,East Greenland,Only whaling,1755,2,,,,,,SM0394,,Ross,SS078,Edinburgh,sailing vessel,,36 fear press gang. 
SV0051,Prince of Wales : 1755,Edinburgh/Leith,East Greenland,Only whaling,1755,1,,,,,,SM0328,,"Murray, A",SS211,Prince of Wales,sailing vessel,,Number of men desert - fear of the press.
SV0052,Princess of Wales : 1755,Edinburgh/Leith,East Greenland,Only whaling,1755,2,,,,,,SM0304,?,Mccallum,SS214,Princess of Wales,sailing vessel,,"Sailed from Kirkcaudy, but Edinburgh owners."
SV0048,Royal Bounty : 1755,Edinburgh/Leith,East Greenland,Only whaling,1755,5,,,,,,SM0432,,Spence,SS235,Royal Bounty,sailing vessel,,"36 fear press gang. Note: Within five years Scots reach their maximun early rate of participation, 16."
SV0050,Trial : 1755,Edinburgh/Leith,East Greenland,Only whaling,1755,0,0,,,,,SM0012,,Allan,SS274,Trial,sailing vessel,,34 men leave ship at Anstruther for fear of press gangs.
SV0076,City of Aberdeen : 1756,Aberdeen,East Greenland,Only whaling,1756,4,,,,,,SM0400,,Sands,SS049,City of Aberdeen,sailing vessel,,Two Aberdeen vessels 'each with 4 good whales on board.' CM 15 July.
SV0077,St Anne : 1756,Aberdeen,East Greenland,Only whaling,1756,4,,,,,,SM0060,,Bretiang,SS251,St Anne,sailing vessel,,Two Aberdeen vessels 'each with 4 good whales on board.' CM 15 July.
SV0071,Borrowstouness : 1756,Borrowstouneness,East Greenland,Only whaling,1756,1,,,,,,SM0325,,Muir,SS035,Borrowstouness,sailing vessel,,4 men pressed.
SV0072,Glasgow Fisher : 1756,Borrowstouneness,East Greenland,Only whaling,1756,2,,,,,,SM0111,,Cram,SS109,Glasgow Fisher,sailing vessel,,Registered in Glasgow.
SV0074,Oswald : 1756,Borrowstouneness,East Greenland,Only whaling,1756,7,,,,,,SM0017,,"Allan, W",SS193,Oswald,sailing vessel,,
SV0070,Peggy : 1756,Borrowstouneness,East Greenland,Only whaling,1756,4,,,,,,SM0187,,Gray,SS199,Peggy,sailing vessel,,Registered in Glasgow.
SV0073,Thistle : 1756,Borrowstouneness,East Greenland,Only whaling,1756,4,,,,,,SM0000,,Unknown,SS264,Thistle,sailing vessel,,Lost - crew saved and cargo salvaged.
SV0069,Blessed Endeavour : 1756,Dunbar,East Greenland,Only whaling,1756,5,,,,,,SM0396,,Roxburgh,SS031,Blessed Endeavour,sailing vessel,,
SV0068,North Star : 1756,Dunbar,East Greenland,Only whaling,1756,1.5,,,,,,SM0216,,Hunter,SS189,North Star,sailing vessel,,
SV0075,Dundee : 1756,Dundee,East Greenland,Only whaling,1756,4,,,,,,SM0091,,"Chiene, W",SS068,Dundee,sailing vessel,,Damaged - had to come home early.
SV0064,Campbelton : 1756,Edinburgh/Leith,East Greenland,Only whaling,1756,2,,,,,,SM0367,,Provand,SS042,Campbelton,sailing vessel,,All but 3 men desert - press.
SV3650,Edinburgh : 1756,Edinburgh/Leith,East Greenland,Only whaling,1756,3,,,,,,SM0394,,Ross,SS078,Edinburgh,sailing vessel,,
SV0063,Prince of Wales : 1756,Edinburgh/Leith,East Greenland,Only whaling,1756,5,,,,,,SM0000,,Unknown,SS211,Prince of Wales,sailing vessel,,
SV0067,Princess of Wales : 1756,Edinburgh/Leith,East Greenland,Only whaling,1756,3,,,,,,SM0304,?,Mccallum,SS214,Princess of Wales,sailing vessel,,
SV0066,Royal Bounty : 1756,Edinburgh/Leith,East Greenland,Only whaling,1756,4,,,,,,SM0432,,Spence,SS235,Royal Bounty,sailing vessel,,29 desert - press.
SV0065,Trial : 1756,Edinburgh/Leith,East Greenland,Only whaling,1756,3,,,,,,SM0012,,Allan,SS274,Trial,sailing vessel,,"Did not return until Sept. Men have scurvy - others desert, fear of press."
SV0092,City of Aberdeen : 1757,Aberdeen,East Greenland,Only whaling,1757,2,,,,,,SM0400,,Sands,SS049,City of Aberdeen,sailing vessel,,
SV0089,Rising Sun : 1757,Anstruther,East Greenland,Only whaling,1757,1,,,,,,SM0090,,"Chiene, R",SS230,Rising Sun,sailing vessel,,
SV0085,Borrowstouness : 1757,Borrowstouneness,East Greenland,Only whaling,1757,1,,,,,,SM0115,,Crawford,SS035,Borrowstouness,sailing vessel,,
SV0087,Glasgow Fisher : 1757,Borrowstouneness,East Greenland,Only whaling,1757,1,,,,,,SM0060,,Bretiang,SS109,Glasgow Fisher,sailing vessel,,
SV0086,Oswald : 1757,Borrowstouneness,East Greenland,Only whaling,1757,6,,,,,,SM0325,,Muir,SS193,Oswald,sailing vessel,,
SV0088,Peggy : 1757,Borrowstouneness,East Greenland,Only whaling,1757,1,,,,,,SM0187,,Gray,SS199,Peggy,sailing vessel,,
SV0084,Blessed Endeavour : 1757,Dunbar,East Greenland,Only whaling,1757,1,,,,,,SM0396,,Roxburgh,SS031,Blessed Endeavour,sailing vessel,,
SV0083,North Star : 1757,Dunbar,East Greenland,Only whaling,1757,3,,,,,,SM0216,,Hunter,SS189,North Star,sailing vessel,,
SV0090,Dundee : 1757,Dundee,East Greenland,Only whaling,1757,0,0,,,,,SM0091,,"Chiene, W",SS068,Dundee,sailing vessel,,
SV0091,Grand Tully : 1757,Dundee,East Greenland,Only whaling,1757,1,,,,,,SM0000,,Unknown,SS112,Grand Tully,sailing vessel,,
SV0081,Campbelton : 1757,Edinburgh/Leith,East Greenland,Only whaling,1757,1.5,,,,,,SM0367,,Provand,SS042,Campbelton,sailing vessel,,
SV0080,Edinburgh : 1757,Edinburgh/Leith,East Greenland,Only whaling,1757,0,0,,,,,SM0394,,Ross,SS078,Edinburgh,sailing vessel,,
SV0078,Prince of Wales : 1757,Edinburgh/Leith,East Greenland,Only whaling,1757,0,0,,,,,SM0000,,Unknown,SS211,Prince of Wales,sailing vessel,,Lost. 
SV0082,Royal Bounty : 1757,Edinburgh/Leith,East Greenland,Only whaling,1757,1.5,,,,,,SM0432,,Spence,SS235,Royal Bounty,sailing vessel,,
SV0079,Trial : 1757,Edinburgh/Leith,East Greenland,Only whaling,1757,0,,,,,,SM0012,,Allan,SS274,Trial,sailing vessel,,
SV0107,City of Aberdeen : 1758,Aberdeen,East Greenland,Only whaling,1758,1,,,,,,SM0400,,Sands,SS049,City of Aberdeen,sailing vessel,,
SV0104,Hawke : 1758,Anstruther,East Greenland,Only whaling,1758,0,0,,,,,SM0372,,Reid,SS116,Hawke,sailing vessel,,
SV0103,Rising Sun : 1758,Anstruther,East Greenland,Only whaling,1758,0,0,,,,,SM0090,,"Chiene, R",SS230,Rising Sun,sailing vessel,,
SV0102,Borrowstouness : 1758,Borrowstouneness,East Greenland,Only whaling,1758,0,0,,,,,SM0115,,Crawford,SS035,Borrowstouness,sailing vessel,,Lost.
SV0100,Glasgow Fisher : 1758,Borrowstouneness,East Greenland,Only whaling,1758,0,0,,,,,SM0061,,Britain,SS109,Glasgow Fisher,sailing vessel,,
SV0099,Oswald : 1758,Borrowstouneness,East Greenland,Only whaling,1758,2,,,,,,SM0470,,Swartz,SS193,Oswald,sailing vessel,,
SV0101,Peggy : 1758,Borrowstouneness,East Greenland,Only whaling,1758,0,0,,,,,SM0187,,Gray,SS199,Peggy,sailing vessel,,
SV0098,Blessed Endeavour : 1758,Dunbar,East Greenland,Only whaling,1758,1,,,,,,SM0396,,Roxburgh,SS031,Blessed Endeavour,sailing vessel,,
SV0097,North Star : 1758,Dunbar,East Greenland,Only whaling,1758,1,,,,,,SM0239,,Kelly,SS189,North Star,sailing vessel,,
SV0105,Dundee : 1758,Dundee,East Greenland,Only whaling,1758,1,,,,,,SM0091,,"Chiene, W",SS068,Dundee,sailing vessel,,
SV0106,Grand Tully : 1758,Dundee,East Greenland,Only whaling,1758,0,0,,,,,SM0303,,Maver,SS112,Grand Tully,sailing vessel,,
SV0096,Campbelton : 1758,Edinburgh/Leith,East Greenland,Only whaling,1758,3,,,,,,SM0367,,Provand,SS042,Campbelton,sailing vessel,,
SV0093,Edinburgh : 1758,Edinburgh/Leith,East Greenland,Only whaling,1758,0,0,,,,,SM0394,,Ross,SS078,Edinburgh,sailing vessel,,
SV0095,Royal Bounty : 1758,Edinburgh/Leith,East Greenland,Only whaling,1758,1,,,,,,SM0432,,Spence,SS235,Royal Bounty,sailing vessel,,
SV0094,Trial : 1758,Edinburgh/Leith,East Greenland,Only whaling,1758,0,0,,,,,SM0012,,Allan,SS274,Trial,sailing vessel,,
SV0121,City of Aberdeen : 1759,Aberdeen,East Greenland,Only whaling,1759,1,,,,,,SM0400,,Sands,SS049,City of Aberdeen,sailing vessel,,19 men pressed.
SV0118,Hawke : 1759,Anstruther,East Greenland,Only whaling,1759,0,0,,,,,SM0372,,Reid,SS116,Hawke,sailing vessel,,
SV0117,Rising Sun : 1759,Anstruther,East Greenland,Only whaling,1759,1,,,,,,SM0090,,"Chiene, R",SS230,Rising Sun,sailing vessel,,
SV0116,Glasgow Fisher : 1759,Borrowstouneness,East Greenland,Only whaling,1759,0,0,,,,,SM0311,,Miller,SS109,Glasgow Fisher,sailing vessel,,
SV0115,Oswald : 1759,Borrowstouneness,East Greenland,Only whaling,1759,1,,,,,,SM0470,,Swartz,SS193,Oswald,sailing vessel,,
SV0114,Peggy : 1759,Borrowstouneness,East Greenland,Only whaling,1759,1,,,,,,SM0187,,Gray,SS199,Peggy,sailing vessel,,One dead fish - only 3 casks.
SV0113,Blessed Endeavour : 1759,Dunbar,East Greenland,Only whaling,1759,4,,,,,,SM0396,,Roxburgh,SS031,Blessed Endeavour,sailing vessel,,
SV0112,North Star : 1759,Dunbar,East Greenland,Only whaling,1759,0,0,,,,,SM0144,,Dawson,SS189,North Star,sailing vessel,,
SV0111,Princess of Wales : 1759,Dunbar,East Greenland,Only whaling,1759,1,,,,,,SM0239,,Kelly,SS215,Princess of Wales,sailing vessel,,
SV0119,Dundee : 1759,Dundee,East Greenland,Only whaling,1759,1,,,,,,SM0091,,"Chiene, W",SS068,Dundee,sailing vessel,,
SV0120,Grand Tully : 1759,Dundee,East Greenland,Only whaling,1759,1,,,,,,SM0300,,Marver,SS112,Grand Tully,sailing vessel,,
SV0110,Campbelton : 1759,Edinburgh/Leith,East Greenland,Only whaling,1759,1,,,,,,SM0367,,Provand,SS042,Campbelton,sailing vessel,,
SV3651,Edinburgh : 1759,Edinburgh/Leith,East Greenland,Only whaling,1759,1,,,,,,SM0291,,Marshal,SS078,Edinburgh,sailing vessel,,
SV0109,Royal Bounty : 1759,Edinburgh/Leith,East Greenland,Only whaling,1759,0,0,,,,,SM0432,,Spence,SS235,Royal Bounty,sailing vessel,,
SV0108,Trial : 1759,Edinburgh/Leith,East Greenland,Only whaling,1759,0,0,,,,,SM0123,,Dallier,SS274,Trial,sailing vessel,,
SV0135,City of Aberdeen : 1760,Aberdeen,East Greenland,Only whaling,1760,1,,,,,,SM0431,,Sparks,SS049,City of Aberdeen,sailing vessel,,
SV0132,Hawke : 1760,Anstruther,East Greenland,Only whaling,1760,0,0,,,,,SM0372,,Reid,SS116,Hawke,sailing vessel,,
SV0131,Rising Sun : 1760,Anstruther,East Greenland,Only whaling,1760,2,,,,,,SM0090,,"Chiene, R",SS230,Rising Sun,sailing vessel,,
SV0130,Oswald : 1760,Borrowstouneness,East Greenland,Only whaling,1760,1,,,,,,SM0470,,Swartz,SS193,Oswald,sailing vessel,,
SV0129,Peggy : 1760,Borrowstouneness,East Greenland,Only whaling,1760,2,,,,,,SM0187,,Gray,SS199,Peggy,sailing vessel,,
SV0128,Blessed Endeavour : 1760,Dunbar,East Greenland,Only whaling,1760,0,0,,,,,SM0396,,Roxburgh,SS031,Blessed Endeavour,sailing vessel,,
SV0126,North Star : 1760,Dunbar,East Greenland,Only whaling,1760,1.5,,,,,,SM0144,,Dawson,SS189,North Star,sailing vessel,,
SV0127,Princess of Wales : 1760,Dunbar,East Greenland,Only whaling,1760,1.5,,,,,,SM0239,,Kelly,SS215,Princess of Wales,sailing vessel,,
SV0133,Dundee : 1760,Dundee,East Greenland,Only whaling,1760,0,0,,,,,SM0000,,Unknown,SS068,Dundee,sailing vessel,,
SV0134,Grand Tully : 1760,Dundee,East Greenland,Only whaling,1760,0,0,,,,,SM0300,,Marver,SS112,Grand Tully,sailing vessel,,
SV0123,Campbelton : 1760,Edinburgh/Leith,East Greenland,Only whaling,1760,2,,,,,,SM0350,,Paton,SS042,Campbelton,sailing vessel,,
SV0124,Edinburgh : 1760,Edinburgh/Leith,East Greenland,East Greenland,1760,0,0,20,,,,SM0291,,Marshal,SS078,Edinburgh,sailing vessel,,Opportunistic sealing and one dead fish - only 3 casks.
SV0122,Royal Bounty : 1760,Edinburgh/Leith,East Greenland,Only whaling,1760,2,,,,,,SM0432,,Spence,SS235,Royal Bounty,sailing vessel,,
SV0125,Trial : 1760,Edinburgh/Leith,East Greenland,East Greenland,1760,0,0,21,,,,SM0124,,Dalziel,SS274,Trial,sailing vessel,,Plus whalebone from a wrecked ship.
SV0149,City of Aberdeen : 1761,Aberdeen,East Greenland,Only whaling,1761,1,,,,,,SM0431,,Sparks,SS049,City of Aberdeen,sailing vessel,,
SV0145,Hawke : 1761,Anstruther,East Greenland,Only whaling,1761,0,0,,,,,SM0372,,Reid,SS116,Hawke,sailing vessel,,
SV0146,Rising Sun : 1761,Anstruther,East Greenland,Only whaling,1761,0,0,,,,,SM0090,,"Chiene, R",SS230,Rising Sun,sailing vessel,,
SV0144,Oswald : 1761,Borrowstouneness,East Greenland,Only whaling,1761,1,,,,,,SM0214,,Hodge,SS193,Oswald,sailing vessel,,
SV0143,Peggy : 1761,Borrowstouneness,East Greenland,Only whaling,1761,2,,,,,,SM0187,,Gray,SS199,Peggy,sailing vessel,,
SV0141,Blessed Endeavour : 1761,Dunbar,East Greenland,Only whaling,1761,0,0,,,,,SM0396,,Roxburgh,SS031,Blessed Endeavour,sailing vessel,,East Lothian and Merse Whale Fishing Co.
SV0142,North Star : 1761,Dunbar,East Greenland,Only whaling,1761,0,0,,,,,SM0144,,Dawson,SS189,North Star,sailing vessel,,East Lothian and Merse Whale Fishing Co.
SV0140,Princess of Wales : 1761,Dunbar,East Greenland,Only whaling,1761,1,,,,,,SM0239,,Kelly,SS215,Princess of Wales,sailing vessel,,East Lothian and Merse Whale Fishing Co.
SV0148,Dundee : 1761,Dundee,East Greenland,Only whaling,1761,0,0,,,,,SM0171,,Finlay,SS068,Dundee,sailing vessel,,
SV0147,Grand Tully : 1761,Dundee,East Greenland,Only whaling,1761,1,,,,,,SM0091,,"Chiene, W",SS112,Grand Tully,sailing vessel,,
SV0136,Campbelton : 1761,Edinburgh/Leith,East Greenland,Only whaling,1761,1,,,,,,SM0350,,Paton,SS042,Campbelton,sailing vessel,,
SV0138,Edinburgh : 1761,Edinburgh/Leith,East Greenland,Only whaling,1761,1,,,,,,SM0040,,Ballantyne,SS078,Edinburgh,sailing vessel,,
SV0137,Royal Bounty : 1761,Edinburgh/Leith,East Greenland,Only whaling,1761,1,,,,,,SM0248,,"Kerr, A",SS235,Royal Bounty,sailing vessel,,
SV0139,Trial : 1761,Edinburgh/Leith,East Greenland,Only whaling,1761,0,0,,,,,SM0124,,Dalziel,SS274,Trial,sailing vessel,,
SV0163,City of Aberdeen : 1762,Aberdeen,East Greenland,Only whaling,1762,1,,,,,,SM0431,,Sparks,SS049,City of Aberdeen,sailing vessel,,
SV0159,Hawke : 1762,Anstruther,East Greenland,Only whaling,1762,0,0,,,,,SM0000,,Unknown,SS116,Hawke,sailing vessel,,Lost.
SV0160,Rising Sun : 1762,Anstruther,East Greenland,Only whaling,1762,0,0,,,,,SM0260,,Lewis,SS230,Rising Sun,sailing vessel,,
SV0157,Oswald : 1762,Borrowstouneness,East Greenland,Only whaling,1762,0,0,,,,,SM0214,,Hodge,SS193,Oswald,sailing vessel,,
SV0158,Peggy : 1762,Borrowstouneness,East Greenland,Only whaling,1762,0,0,,,,,SM0187,,Gray,SS199,Peggy,sailing vessel,,"Note: Bounty, combined with the luck/lottery factor (chance to catch whales), enough to encourage fleet expansion."
SV0154,Blessed Endeavour : 1762,Dunbar,East Greenland,Only whaling,1762,1,,,,,,SM0396,,Roxburgh,SS031,Blessed Endeavour,sailing vessel,,
SV0155,North Star : 1762,Dunbar,East Greenland,Only whaling,1762,1,,,,,,SM0144,,Dawson,SS189,North Star,sailing vessel,,
SV0156,Princess of Wales : 1762,Dunbar,East Greenland,Only whaling,1762,1,,,,,,SM0239,,Kelly,SS215,Princess of Wales,sailing vessel,,
SV0161,Dundee : 1762,Dundee,East Greenland,Only whaling,1762,0,0,,,,,SM0171,,Finlay,SS068,Dundee,sailing vessel,,
SV0162,Grand Tully : 1762,Dundee,East Greenland,Only whaling,1762,2,,,,,,SM0091,,"Chiene, W",SS112,Grand Tully,sailing vessel,,
SV0151,Campbelton : 1762,Edinburgh/Leith,East Greenland,Only whaling,1762,1,,,,,,SM0350,,Paton,SS042,Campbelton,sailing vessel,,Edinburgh Whale Fishing Co. Note: Poor results continue.
SV0150,Edinburgh : 1762,Edinburgh/Leith,East Greenland,Only whaling,1762,0,0,,,,,SM0124,,Dalziel,SS078,Edinburgh,sailing vessel,,Edinburgh Whale Fishing Co. 
SV0153,Royal Bounty : 1762,Edinburgh/Leith,East Greenland,Only whaling,1762,0,0,,,,,SM0248,,"Kerr, A",SS235,Royal Bounty,sailing vessel,,Edinburgh Whale Fishing Co. Note: Poor results continue.
SV0152,Trial : 1762,Edinburgh/Leith,East Greenland,Only whaling,1762,1,,,,,,SM0040,,Ballantyne,SS274,Trial,sailing vessel,,Edinburgh Whale Fishing Co. Note: Poor results continue.
SV0173,City of Aberdeen : 1763,Aberdeen,East Greenland,Only whaling,1763,1,,,,,,SM0431,,Sparks,SS049,City of Aberdeen,sailing vessel,,
